광역시코드,지역명,공급유형명,단지명,총세대수,전용면적,세대수,임대보증금,월임대료,최초입주년월
26,부산광역시 북구,국민임대,부산화명율리,840,51.95,454,18921000,239600,200406
26,부산광역시 북구,국민임대,부산화명율리,840,51.49,220,18752000,237340,200406
26,부산광역시 사상구,국민임대,"부산감전(06,주6) 1단지",622,51.93,118,33810000,281400,201411
26,부산광역시 사상구,국민임대,"부산감전(06,주6) 1단지",622,46.95,150,27720000,232050,201411
26,부산광역시 사상구,국민임대,"부산감전(06,주6) 1단지",622,46.9,28,27720000,232050,201411
26,부산광역시 사상구,국민임대,"부산감전(06,주6) 1단지",622,41.97,92,22365000,185850,201411
26,부산광역시 사상구,국민임대,"부산감전(06,주6) 1단지",622,41.94,108,22365000,185850,201411
26,부산광역시 사상구,국민임대,"부산감전(06,주6) 1단지",622,41.83,126,22365000,185850,201411
26,부산광역시 사상구,국민임대,"부산괘법(07,주2) 1단지",291,51.55,91,50775000,422950,201303
26,부산광역시 사상구,국민임대,"부산괘법(07,주2) 1단지",291,46.53,200,44387000,368980,201303
26,부산광역시 해운대구,국민임대,송정(1),828,46.96,207,14276000,141620,200704
26,부산광역시 해운대구,국민임대,송정(1),828,46.47,159,14276000,141620,200704
26,부산광역시 해운대구,국민임대,송정(1),828,39.88,305,13135000,105060,200704
26,부산광역시 해운대구,국민임대,송정(1),828,39.15,157,13135000,105060,200704
26,부산광역시 해운대구,국민임대,송정2 휴먼시아,890,59.47,300,33410000,266120,200904
26,부산광역시 해운대구,국민임대,송정2 휴먼시아,890,51.93,168,26497000,218890,200904
26,부산광역시 해운대구,국민임대,송정2 휴먼시아,890,51.77,422,26497000,218890,200904
27,대구광역시 달서구,국민임대,대구대곡2 A블록 국민임대주택,402,46.06,94,31718000,265000,201903
27,대구광역시 달서구,국민임대,대구대곡2 A블록 국민임대주택,402,28.23,32,11287000,152000,201903
27,대구광역시 달서구,국민임대,대구대곡2 A블록 국민임대주택,402,28.13,276,11287000,152000,201903
27,대구광역시 달서구,국민임대,대구장기,705,46.19,411,24207000,200540,200505
27,대구광역시 달서구,국민임대,대구장기,705,36.63,294,19108000,162980,200505
27,대구광역시 달성군,국민임대,달성용계,302,59.57,108,26082000,234340,200507
27,대구광역시 달성군,국민임대,달성용계,302,51.86,194,23196000,199400,200507
27,대구광역시 달성군,국민임대,대구다사,801,59.57,48,32454000,194720,200609
27,대구광역시 달성군,국민임대,대구다사,801,59.29,48,32454000,194720,200609
27,대구광역시 달성군,국민임대,대구다사,801,51.77,212,28559000,171340,200609
27,대구광역시 달성군,국민임대,대구다사,801,46.19,212,25964000,97350,200609
27,대구광역시 달성군,국민임대,대구다사,801,36.63,135,19472000,89560,200609
27,대구광역시 달성군,국민임대,대구다사,801,36.3,30,19472000,89560,200609
27,대구광역시 달성군,국민임대,대구다사,801,36.23,56,19472000,89560,200609
27,대구광역시 달성군,국민임대,대구다사,801,36.19,60,19472000,89560,200609
27,대구광역시 달성군,국민임대,대구달성본리2,414,51.95,280,17963000,222940,200303
27,대구광역시 달성군,국민임대,대구달성본리2,414,51.49,134,17963000,222940,200303
27,대구광역시 달성군,국민임대,대구서재휴먼시아,757,46.9,252,24155000,198190,201007
27,대구광역시 달성군,국민임대,대구서재휴먼시아,757,39.68,168,17962000,142440,201007
27,대구광역시 달성군,국민임대,대구서재휴먼시아,757,36.62,337,15360000,123870,201007
27,대구광역시 달성군,국민임대,대구옥포천년나무 2단지,1186,46.69,268,22844000,265610,201503
