광역시코드,총세대수,전용면적,세대수,임대보증금,월임대료
27,1937,46.69,78,26477000,179520
27,1937,39.71,492,19006000,131070
27,1009,47.46,9,24093000,163530
27,1009,46.9,116,24093000,163530
27,1009,46.59,18,24093000,163530
27,1009,36.9,22,17165000,117330
27,1009,36.65,130,17165000,117330
27,499,59.95,68,38888000,263430
27,499,59.88,155,38888000,263430
27,499,51.81,276,31360000,213230
28,630,49.91,369,21404000,219740
28,630,39.84,261,16162000,175520
28,668,49.91,349,20954000,215100
28,668,39.84,319,15823000,171840
28,324,59.61,108,29167000,287920
28,324,51.93,216,22478000,233630
28,230,51.93,54,32895000,279420
28,230,46.76,10,25676000,232240
28,230,39.63,78,18550000,179020
28,230,33.13,88,15273000,139100
28,801,46.52,354,20296000,235220
28,801,39.7,447,17161000,195030
28,1800,46.81,975,20731000,240270
28,1800,39.79,825,17528000,199210
28,1278,51.93,547,31473000,261980
28,1278,46.9,356,22508000,247510
28,1278,39.98,116,18057000,204040
28,1278,39.72,259,18057000,204040
28,2148,59.88,178,36985000,307600
28,2148,51.93,550,30031000,249990
28,2148,46.9,868,21478000,236180
28,2148,39.98,238,17230000,194700
28,2148,39.72,314,17230000,194700
28,1522,46.73,52,20986000,243450
28,1522,46.6,179,20986000,243450
28,1522,46.55,611,20986000,243450
28,1522,39.79,471,17749000,201470
28,1522,39.64,209,17749000,201470
28,714,59.64,72,19987000,264360
28,714,51.72,418,18045000,235960
28,714,51.49,224,17972000,234890
28,1738,46.44,474,29000000,195000
28,1738,36.87,300,15000000,160000
28,1738,36.81,78,15000000,160000
28,1738,36.77,456,15000000,160000
28,1738,36.42,50,15000000,160000
28,1738,29.63,380,12000000,117000
28,1534,59.97,80,45116000,312500
28,1534,46.75,338,29710000,209070
28,1534,36.97,561,16506000,167250
28,1534,36.88,315,16506000,167250
28,1534,29.97,240,13204000,123230
28,2026,59.4,162,45104000,311660
28,2026,51.92,270,33816000,253940
28,2026,46.8,448,26154000,221610
28,2026,36.62,598,17314000,171990
28,2026,29.48,548,14744000,108490
28,882,51.92,184,36090000,253700
28,882,46.8,220,27701000,224870
28,882,36.94,72,17816000,172980
28,882,36.62,174,17816000,172980
28,882,29.48,232,15105000,109540
28,795,46.22,498,18826000,232660
28,795,36.63,297,14850000,183430
28,16,55.89,4,52050000,264410
28,16,55.49,4,52050000,264410
28,16,55.31,4,52050000,264410
28,16,55.06,4,52050000,264410
28,297,49.93,84,45073000,258340
28,297,49.85,53,45073000,258340
28,297,39.94,160,28583000,168190
28,870,51.97,84,37593000,289210
28,870,46.9,446,29803000,238600
28,870,39.57,340,22479000,185570
28,1696,45.32,1258,17830000,217750
28,1696,36.44,438,14258000,169730
28,1525,59.81,132,46084000,378370
28,1525,46.88,116,31106000,240780
28,1525,46.86,198,31106000,240780
28,1525,46.81,49,31106000,240780
28,1525,36.96,710,19585000,149050
28,1525,36.88,76,19585000,149050
28,1525,29.98,244,16129000,120380
28,750,46.66,50,41041000,276500
28,750,46.09,198,41041000,276500
28,750,37.78,248,26446000,212300
28,750,37.13,54,26446000,212300
28,750,29.37,200,15095000,161100
28,621,46.22,353,17780000,178230
28,621,36.63,268,14003000,139230
28,1255,59.95,168,44812000,384140
28,1255,46.64,420,28706000,240090
28,1255,36.86,406,17394000,150040
28,1255,36.74,216,17394000,150040
28,1255,36.66,45,17394000,150040
28,50,43.33,16,20152000,200380
28,50,33.07,28,9826000,153600
28,50,26.8,6,7707000,128870
28,40,46.79,6,21757000,215810
28,40,33.98,8,9004000,136740
28,40,29.75,16,7074000,111950
28,40,24.7,10,5690000,95990
28,457,46.01,139,50420000,261600
28,457,37.33,212,32903000,202060
28,457,29.07,106,18903000,153260
28,770,59.83,116,39614000,233270
28,770,46.13,129,25309000,148540
28,770,36.34,412,15405000,93520
28,770,29.75,113,12104000,78110
28,784,51.7,142,28583000,178080
28,784,46.13,129,23086000,136310
28,784,36.34,399,14291000,83540
28,784,29.75,114,10993000,71450
41,335,51.64,71,22412000,125320
41,335,51.45,25,22412000,125320
41,335,41.05,165,15423000,84340
41,335,33.13,74,10242000,57830
41,1372,46.21,280,51461000,319070
41,1372,37.25,528,32278000,239940
41,1372,26.16,564,16565000,168470
41,930,59.25,64,54752000,412560
41,930,51.98,110,44767000,339050
41,930,46.94,55,35660000,278690
41,930,46.91,258,35660000,278690
41,930,46.52,123,35660000,278690
41,930,36.71,34,21505000,202980
41,930,36.62,286,21505000,202980
41,1201,59.25,168,53765000,384030
41,1201,51.98,124,43890000,329170
41,1201,46.94,71,37306000,274310
41,1201,46.91,278,37306000,274310
41,1201,46.52,139,37306000,274310
41,1201,36.71,34,19750000,197500
41,1201,36.62,281,19750000,197500
41,1201,26.49,106,14264000,153610
41,1890,59.25,228,58800000,399000
41,1890,51.98,222,46200000,346500
41,1890,46.91,293,36750000,304500
41,1890,46.67,135,36750000,304500
41,1890,36.62,708,19950000,220500
41,1890,36.51,164,19950000,220500
41,1890,26.49,140,14700000,162750
41,1495,59.95,166,52743000,378370
41,1495,51.6,238,41277000,309580
41,1495,46.46,503,33251000,275170
41,1495,36.74,476,20523000,194910
41,1495,26.64,112,14790000,149050
41,866,59.95,78,52743000,378370
41,866,51.6,40,41277000,309580
41,866,46.46,476,33251000,275170
41,866,36.74,272,20523000,194910
41,1302,46.98,450,47070000,313800
41,1302,36.92,384,22279000,247900
41,1302,26.98,468,16317000,175720
41,1238,46.27,392,30723000,263340
41,1238,36.73,846,18104000,186530
41,750,46.8,216,50025000,265510
41,750,37.61,108,32171000,204060
41,750,29.5,426,18664000,156540
41,1185,46.9,730,34477000,288920
41,1185,39.72,112,25004000,209950
41,1185,39.48,343,24877000,208470
41,477,46.9,264,31331000,262690
41,477,39.48,213,22412000,188300
41,1046,46.9,592,34477000,288920
41,1046,39.72,170,25004000,209950
41,1046,39.48,284,24877000,208470
41,431,46.48,32,56807000,306540
41,431,37.73,193,36866000,239390
41,431,23.87,206,17039000,148090
41,1378,59.89,20,37058000,309780
41,1378,59.57,396,36818000,308470
41,1378,51.86,962,30101000,251500
41,583,59.89,36,38577000,322480
41,583,59.57,367,38327000,321110
41,583,51.86,180,31335000,261810
41,782,46.48,80,26092000,211440
41,782,46.47,180,26092000,211370
41,782,39.15,174,19723000,166960
41,782,36.22,348,15854000,160640
41,1019,46.9,400,25667000,214340
41,1019,39.72,440,19159000,161120
41,1019,39.48,179,19039000,160220
41,822,59.57,144,29422000,291070
41,822,59.45,266,29360000,290460
41,822,51.88,412,25016000,246320
41,593,51.93,187,45193000,308350
41,593,46.9,195,37454000,259660
41,593,39.72,40,23720000,197230
41,593,39.59,171,23720000,197230
41,898,59.61,106,59245000,356190
41,898,51.93,180,43414000,296210
41,898,46.9,293,35979000,249440
41,898,39.72,100,22786000,189470
41,898,39.59,219,22786000,189470
41,1174,59.61,168,59245000,356190
41,1174,51.93,202,43414000,296210
41,1174,46.96,33,35979000,249440
41,1174,46.9,349,35979000,249440
